Source;Frame;Fix Frame;Frame Period;Parameter;Size (bits);Charge (bps);Fix param in frame;4WD;4WS;ACU;ADAS;ADB;ANC;ATCU;ATCU_eDCT;AUDIOamp;AVM;BCM;BMS_12V;BSG;BSWL;BSWR;CPLC;DOP_RES;DOP_SECU;DOP_TCU;DSMU;DSU;DTOOL;EBA;ECM;EPKB;EPS;ESCL;EVAP;FrCamera;HECM;HEVC;HFM;HUD;HVAC;IDM;IVI;MagicFolding;MBL;METER;PBD;PSCU;RADAR;SceneRecorder;SCU;SONAR;TCU;USM;VADA;VDC;VSP;GW
ACU;ACU_A2;0;500;DirectionRear2ndCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionFront2ndCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionRight2ndCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionLeft2ndCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;SeatBeltStatusPass2ndcollision;2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;SeatBeltStatusDriver2ndCollision;2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;PreRolloverDetection;1;2;0;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACU;ACU_A2;0;500;MaxDeltaVLongi1stCollision;8;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;MaxDeltaVLat1stCollision;8;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;MaxDeltaVLongi2ndCollision;8;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;MaxDeltaVLat2ndCollision;8;16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionRear1stCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionFront1stCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;DirectionRight1stCollision;1;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;
ACU;ACU_A2;0;500;CrashLevelType;3;6;0;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;
IVI;ADASIS_CARTO_N1;0;100;RoadDataType;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
IVI;ADASIS_CARTO_N1;0;100;ADASIS_RoadData;61;610;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
IVI;ADASIS_Position_N1;0;500;PositionDataType;3;6;0;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;
IVI;ADASIS_Position_N1;0;500;ADASIS_Position;61;122;0;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A1;0;10;CRC_ADAS_A1;8;800;1;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A1;0;10;Clock_ADAS_A1;4;400;1;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A1;0;10;LCA_SteeringAngleOrder;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A1;0;10;LCA_SteeringGain_k1;7;700;1;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A1;0;10;ControlModeChangeRequest;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A1;0;10;LCA_SteeringGain_k2;7;700;1;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A1;0;10;LCA_SteeringAngleRequest;18;1800;1;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;CRC_ADAS_A10;8;400;1;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;20;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;Clock_ADAS_A10;4;200;1;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;20;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;HFPB_Status2;3;150;1;;;;;;;20;;;;;;;;;;;;;;;;;20;;;;;;;20;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;HFPB_BrakeWheelTorqueOrder2;1;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;HFPB_StandStillRequest2;1;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;WheelTorqueLimitationRequest2;15;750;1;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;HFPB_BrakeWheelTorqueRequest2;15;750;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;WheelTorqueLimitationOrder2;2;100;1;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A10;0;20;HFPB_BrakeWheelTorqueRequestRaw2;12;600;1;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;CRC_ADAS_A11;8;400;1;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;Clock_ADAS_A11;4;200;1;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;FFPforceOrder;1;50;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;SideRadarModeRequest;1;50;1;;;;;;;;;;;;;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;ADAS_Failure;1;50;1;;;;;;;20;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;VelocityServoDisturbance;14;700;1;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;FAP_ControlStatus;2;100;1;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A11;0;20;FFPforceRequest;8;400;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A12;0;500;Clock_ADAS_A12;4;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
ADAS;ADAS_A12;0;500;LCA_SteeringWheelTakeOverAlert_mirror;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
ADAS;ADAS_A12;0;500;LCA_SteeringWheelTakeOverAlert;3;6;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;CRC_ADAS_A2;8;800;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;Clock_ADAS_A2;4;400;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;ACC_Status;4;400;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;10;;;;;;;10;;;;;;;;;
ADAS;ADAS_A2;0;10;ACC_BrakeWheelTorqueOrder;1;100;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;ACC_PWTWheelTorqueRequest;15;1500;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;ACC_PWTWheelTorqueOrder;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;ACC_BrakeWheelTorqueRequest;15;1500;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;10;;;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;ACC_BrakeWheelTorqueRequestRaw;12;1200;1;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;ACC_EngineStopAutoOrder;2;200;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A2;0;10;HighGearInhibitRequest;2;200;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;CRC_ADAS_A3;8;800;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;Clock_ADAS_A3;4;400;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;AEB_PWTwheelTorqueOrder;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;BCI_PWTwheelTorqueOrder;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;EAP_PWTWheelTorqueOrder;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;ADAS_YawMomentOrder;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;ADAS_YawMomentRequest;14;1400;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;ACC_StandStillRequest;1;100;1;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;10;;;;10;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;ADAS_PWTwheelTorqueRequest;15;1500;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;PowerTrainSetPointLimitation;8;800;1;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A3;0;10;FAP_GearShiftRequest;3;300;1;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A4;0;10;CRC_ADAS_A4;8;800;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;10;;
ADAS;ADAS_A4;0;10;Clock_ADAS_A4;4;400;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;10;;
ADAS;ADAS_A4;0;10;AEB_BrakeWheelTorqueOrder2;3;300;1;;;;;;;10;;;;;;;;;;;;;;;;;10;;;;;;;10;;;;;;;;;;;;;;;;;;10;;
ADAS;ADAS_A4;0;10;HBAThresholdRequest2;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;
ADAS;ADAS_A4;0;10;AEB_BrakeWheelTorqueRequest2;15;1500;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;
ADAS;ADAS_A4;0;10;AEB_BrakeTorqueGain2;5;500;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;
ADAS;ADAS_A4;0;10;AEB_BrakeTorqueGainOrder2;2;200;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;
ADAS;ADAS_A4;0;10;HydraulicPreFillRequest2;1;100;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;
ADAS;ADAS_A5;0;1000;AEB_CyclistAlertRequest2;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;1000;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_FCWactivationState2;2;2;0;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;1000;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_VehicleAlertRequest2;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;1000;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_PermanentFailureDisplayReq2;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_PedestrianAlertRequest2;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;1000;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_TemporaryFailureDisplayReq2;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_InhibitionRequest2;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_BrakeWheelTorqueOrder2_EDR;3;3;0;;;100;;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_FailureDisplay2;2;2;0;;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;AEB_StatusDisplay2;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;ADAS_EDRflashingOrder;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A5;0;1000;ADAS_EDRtriggerFlag;2;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1000;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ACC_BusyShiftLimitRequest;1;10;0;;;;;;;100;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ASC_InhibitRequest;1;10;0;;;;;;;100;;;;;;;;;;;;;;;;;100;;;;;;;100;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;PrecedingVehicleChangeCounter;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;FixedObjectDetection;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;PrecedingVehicleDetection;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;DistanceToPrecedingVehicle;11;110;0;;;100;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ObjectDetectionFailure;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ACC_CruiseEcoActivationState;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;LCA_LaneInfo;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;LDP_StatusInfo;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;LDP_LaneInfo;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;LDP_ActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;LDP_AlertStatusInfo;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;BSI_ActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ADAS_LDWalertInhibitionRequest;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;EAP_SoundInhibitionRequest;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;
ADAS;ADAS_A6;0;100;EAP_ActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;LCA_ActivationStateForLSS;3;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;EAP_SoundAlertRequest;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;
ADAS;ADAS_A6;0;100;BCI_ActivationState;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ADAS_VehicleDrivingStatus;2;20;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;100;;;;;;;;;
ADAS;ADAS_A6;0;100;ACC_Status_Slow;4;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;
ADAS;ADAS_A6;0;100;LKA_InhibitionRequestedbyLCA;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ACC_LCA_CancelReason_v2;7;70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ACC_LCA_CancelReasonRER_v2;1;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ADAS;ADAS_A6;0;100;ACC_LCA_DeactivationType;4;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;
ADAS;ADAS_A7;0;500;ADAS_ModeDisplay;2;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;500;;;;;;;;;;;;
ADAS;ADAS_A7;0;500;ACC_StatusDisplay;2;4;0;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;500;;;;;;500;;;;;;;;;;;;
